id,rate_avg_kg_hr,rate_detected_kg_hr,plume_count,timestamp_min,timestamp_max,latitude,longitude,nearest_well_api,nearest_well_operator,operator_number,distance_to_nearest_well_km,total_wells_within_500m,operator_wells_within_500m,confidence_score,purchaser_names
CH4_1B2_250m_-101.73296_31.89715?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,121.87592050292695,182.81,2,2025-07-30,2025-08-13,31.89715,-101.73296,173-35978,"PIONEER NATURAL RES. USA, INC.",665748,0.39,3,2,53.4,"[836041] TARGA PL MID-CONT WESTTEX LLC; [36586] ATLAS PL MID-CONT. WESTTEX, LLC"
CH4_1B2_250m_-101.68937_31.83237?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,82.20426847365998,246.61,1,2025-08-13,2025-08-13,31.83237,-101.68937,173-35557,DIAMONDBACK E&P LLC,217012,0.34,1,1,76.2,"[836041] TARGA PL MID-CONT WESTTEX LLC; [36586] ATLAS PL MID-CONT. WESTTEX, LLC"
CH4_1B2_250m_-101.80144_31.85474?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,54.71093071202303,218.84,1,2025-08-13,2025-08-13,31.85474,-101.80144,329-1293,"WESTERN DISPOSAL SYSTEMS, INC.",911878,0.17,1,1,88.0,NULL
CH4_1B2_250m_-101.75875_31.77372?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,39.76012413279782,119.28,1,2025-08-13,2025-08-13,31.77372,-101.75875,173-35253,"CIVITAS PERMIAN OPERATING, LLC",101577,0.41,17,1,14.1,"[913450] WGR, INC.; [36586] ATLAS PL MID-CONT. WESTTEX, LLC; [836041] TARGA PL MID-CONT WESTTEX LLC"
CH4_1B2_250m_-101.70091_31.89023?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,NULL,NULL,2,2025-07-30,2025-08-13,31.89023,-101.70091,173-36480,"PIONEER NATURAL RES. USA, INC.",665748,0.38,2,2,70.5,"[836041] TARGA PL MID-CONT WESTTEX LLC; [36586] ATLAS PL MID-CONT. WESTTEX, LLC"
CH4_1B2_250m_-101.76504_31.85835?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,NULL,NULL,3,2025-01-01,2025-08-13,31.85835,-101.76504,173-31996,"JM COX RESOURCES, L.P.",433075,0.1,4,2,65.0,"[913450] WGR, INC.; [36586] ATLAS PL MID-CONT. WESTTEX, LLC; [836041] TARGA PL MID-CONT WESTTEX LLC; [250300] EL PASO NATURAL GAS COMPANY; [911905] WESTERN GAS PROCESSORS, LTD."
CH4_1B2_250m_-101.76605_31.85491?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,NULL,NULL,2,2025-07-30,2025-08-13,31.85491,-101.76605,173-30981,"JM COX RESOURCES, L.P.",433075,0.2,5,2,53.2,"[913450] WGR, INC.; [36586] ATLAS PL MID-CONT. WESTTEX, LLC; [836041] TARGA PL MID-CONT WESTTEX LLC; [250300] EL PASO NATURAL GAS COMPANY; [911905] WESTERN GAS PROCESSORS, LTD."
CH4_1B2_250m_-103.11313_31.29373?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,530.015076212749,1060.03,2,2025-06-20,2025-08-08,31.29373,-103.11313,389-32324,"WWM OPERATING, LLC",945289,0.2,2,2,82.8,NULL
CH4_1B2_250m_-103.21905_31.43250?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,401.1217012926364,401.12,4,2025-03-07,2025-08-08,31.4325,-103.21905,475-36820,"VITAL ENERGY, INC.",100951,0.04,7,7,89.9,"[836039] TARGA PERMIAN LP; [744276] SALT CREEK MIDSTREAM, LLC; [836037] TARGA MIDSTREAM SERVICES LLC"
CH4_1B2_250m_-103.16757_31.33918?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,389.2241501588462,778.45,2,2025-06-20,2025-08-08,31.33918,-103.16757,389-39961,DIAMONDBACK E&P LLC,217012,0.28,2,2,77.5,"[238465] EAGLECLAW MIDSTREAM VENTURES,LLC"
CH4_1B2_250m_-103.16094_31.42632?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,249.60104804219807,249.6,4,2025-03-07,2025-08-08,31.42632,-103.16094,475-37147,DIAMONDBACK E&P LLC,217012,0.33,8,8,69.8,[252017] ENERGY TRANSFER COMPANY
CH4_1B2_250m_-103.20421_31.18537?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,209.79810660953595,629.39,1,2025-08-08,2025-08-08,31.18537,-103.20421,389-34741,DIAMONDBACK E&P LLC,217012,0.05,6,6,89.6,"[89903] BRAZOS MIDSTREAM OPERATING, LLC; [252017] ENERGY TRANSFER COMPANY"
